stGps.stDate.year,stGps.stDate.month,stGps.stDate.day,stGps.stTime.hour,stGps.stTime.min,stGps.stTime.sec,stGps.fLatitude,stGps.fLongitude,uSpeed,bBrakePressure,wTimeTick
20,10,6,23,57,57,3733.380371,12651.111328,55,0,1148
20,10,6,23,57,57,3733.380371,12651.111328,56,0,1151
20,10,6,23,57,59,3733.383301,12651.101563,56,0,1161
20,10,6,23,57,59,3733.386230,12651.091797,55,0,1169
20,10,6,23,58,1,3733.389404,12651.083008,53,0,1179
20,10,6,23,58,1,3733.392334,12651.071289,52,0,1187
20,10,6,23,58,3,3733.395264,12651.061523,49,0,1198
20,10,6,23,58,3,3733.397949,12651.051758,46,0,1206
20,10,6,23,58,4,3733.400391,12651.043945,41,0,1216
20,10,6,23,58,6,3733.402832,12651.037109,36,0,1225
20,10,6,23,58,7,3733.405273,12651.030273,27,0,1235
20,10,6,23,58,7,3733.406250,12651.024414,22,0,1242
20,10,6,23,58,9,3733.407471,12651.019531,12,0,1252
20,10,6,23,58,9,3733.408203,12651.017578,5,0,1261
20,10,6,23,58,11,3733.408691,12651.015625,0,0,1271
20,10,6,23,58,11,3733.408691,12651.014648,0,0,1279
20,10,6,23,58,12,3733.408203,12651.014648,0,0,1288
