stGps.stDate.year,stGps.stDate.month,stGps.stDate.day,stGps.stTime.hour,stGps.stTime.min,stGps.stTime.sec,stGps.fLatitude,stGps.fLongitude,uSpeed,bBrakePressure,wTimeTick
20,10,12,14,35,1,3725.991699,12653.871094,105,0,13185
20,10,12,14,35,2,3725.978027,12653.863281,105,0,13195
20,10,12,14,35,3,3725.964111,12653.855469,106,0,13204
20,10,12,14,35,4,3725.950195,12653.847656,106,0,13214
20,10,12,14,35,5,3725.936279,12653.838867,108,0,13222
20,10,12,14,35,6,3725.922119,12653.831055,111,0,13231
20,10,12,14,35,7,3725.907959,12653.823242,113,0,13241
20,10,12,14,35,8,3725.893311,12653.814453,114,0,13250
20,10,12,14,35,9,3725.878174,12653.807617,116,0,13258
20,10,12,14,35,10,3725.862549,12653.799805,116,0,13268
20,10,12,14,35,11,3725.846680,12653.792969,116,0,13276
20,10,12,14,35,12,3725.830811,12653.787109,115,0,13286
20,10,12,14,35,13,3725.814697,12653.781250,113,0,13295
20,10,12,14,35,14,3725.798584,12653.776367,113,0,13304
20,10,12,14,35,15,3725.782715,12653.771484,111,0,13313
20,10,12,14,35,16,3725.766602,12653.766602,112,0,13322
