stGps.stDate.year,stGps.stDate.month,stGps.stDate.day,stGps.stTime.hour,stGps.stTime.min,stGps.stTime.sec,stGps.fLatitude,stGps.fLongitude,uSpeed,bBrakePressure,wTimeTick
20,10,12,14,44,42,3715.951904,12653.458008,155,0,18468
20,10,12,14,44,43,3715.933105,12653.443359,156,0,18477
20,10,12,14,44,44,3715.914307,12653.427734,157,0,18486
20,10,12,14,44,45,3715.895020,12653.413086,157,0,18494
20,10,12,14,44,46,3715.875977,12653.396484,154,0,18503
20,10,12,14,44,47,3715.856689,12653.380859,153,0,18514
20,10,12,14,44,48,3715.838135,12653.365234,154,0,18522
20,10,12,14,44,49,3715.819580,12653.349609,154,0,18531
20,10,12,14,44,50,3715.800781,12653.333984,156,0,18540
20,10,12,14,44,51,3715.781738,12653.318359,156,0,18549
20,10,12,14,44,52,3715.762695,12653.302734,157,0,18559
20,10,12,14,44,53,3715.743164,12653.288086,157,0,18568
20,10,12,14,44,54,3715.723389,12653.273438,158,0,18576
20,10,12,14,44,55,3715.703369,12653.258789,159,0,18585
20,10,12,14,44,56,3715.683105,12653.245117,156,0,18595
20,10,12,14,44,57,3715.662598,12653.231445,153,0,18605
20,10,12,14,44,58,3715.642578,12653.218750,150,0,18614
