stGps.stDate.year,stGps.stDate.month,stGps.stDate.day,stGps.stTime.hour,stGps.stTime.min,stGps.stTime.sec,stGps.fLatitude,stGps.fLongitude,uSpeed,bBrakePressure,wTimeTick
20,10,22,8,28,16,3731.229980,12654.075195,39,0,11911
20,10,22,8,28,16,3731.229980,12654.075195,39,0,11911
20,10,22,8,28,17,3731.229004,12654.082031,35,0,11920
20,10,22,8,28,17,3731.229004,12654.082031,35,0,11920
20,10,22,8,28,18,3731.227783,12654.088867,30,0,11931
20,10,22,8,28,18,3731.227783,12654.088867,30,0,11931
20,10,22,8,28,19,3731.227051,12654.094727,29,0,11939
20,10,22,8,28,19,3731.227051,12654.094727,29,0,11939
20,10,22,8,28,20,3731.226318,12654.099609,29,0,11947
20,10,22,8,28,20,3731.226318,12654.099609,29,0,11947
20,10,22,8,28,21,3731.225586,12654.104492,31,0,11956
20,10,22,8,28,21,3731.225586,12654.104492,31,0,11956
20,10,22,8,28,22,3731.225098,12654.109375,33,0,11965
20,10,22,8,28,22,3731.225098,12654.109375,33,0,11965
20,10,22,8,28,23,3731.224121,12654.114258,36,0,11975
20,10,22,8,28,23,3731.224121,12654.114258,36,0,11975
20,10,22,8,28,23,3731.223389,12654.120117,37,0,11979
20,10,22,8,28,23,3731.223389,12654.120117,37,0,11979
20,10,22,8,28,25,3731.222900,12654.125977,41,0,11993
20,10,22,8,28,25,3731.222900,12654.125977,41,0,11993
20,10,22,8,28,26,3731.222412,12654.131836,43,0,12001
20,10,22,8,28,26,3731.222412,12654.131836,43,0,12001
20,10,22,8,28,27,3731.221680,12654.138672,46,0,12010
20,10,22,8,28,27,3731.221680,12654.138672,46,0,12010
20,10,22,8,28,28,3731.220703,12654.146484,44,0,12021
20,10,22,8,28,29,3731.219482,12654.154297,41,0,12030
20,10,22,8,28,29,3731.219482,12654.154297,41,0,12030
20,10,22,8,28,29,3731.219482,12654.154297,41,0,12030
20,10,22,8,28,30,3731.218262,12654.161133,38,0,12039
20,10,22,8,28,30,3731.218262,12654.161133,38,0,12039
20,10,22,8,28,31,3731.217041,12654.167969,37,0,12047
20,10,22,8,28,31,3731.217041,12654.167969,37,0,12047
20,10,22,8,28,32,3731.215820,12654.174805,37,0,12056
20,10,22,8,28,32,3731.215820,12654.174805,37,0,12056
