stGps.stDate.year,stGps.stDate.month,stGps.stDate.day,stGps.stTime.hour,stGps.stTime.min,stGps.stTime.sec,stGps.fLatitude,stGps.fLongitude,uSpeed,bBrakePressure,wTimeTick
20,10,23,9,51,31,3731.506348,12654.518555,19,0,11821
20,10,23,9,51,32,3731.507568,12654.523438,1,0,11831
20,10,23,9,51,33,3731.507324,12654.525391,0,0,11839
20,10,23,9,51,34,3731.507324,12654.525391,8,0,11848
20,10,23,9,51,35,3731.507813,12654.525391,14,0,11858
20,10,23,9,51,36,3731.507813,12654.527344,18,0,11867
20,10,23,9,51,37,3731.507813,12654.529297,22,0,11876
20,10,23,9,51,38,3731.507813,12654.532227,27,0,11884
20,10,23,9,51,39,3731.507813,12654.536133,30,0,11893
20,10,23,9,51,40,3731.508301,12654.541016,31,0,11904
20,10,23,9,51,41,3731.508301,12654.545898,34,0,11912
20,10,23,9,51,42,3731.508301,12654.551758,35,0,11921
20,10,23,9,51,43,3731.509033,12654.557617,37,0,11930
20,10,23,9,51,44,3731.508789,12654.563477,38,0,11940
20,10,23,9,51,45,3731.510498,12654.570313,40,0,11949
20,10,23,9,51,46,3731.511719,12654.577148,38,0,11958
20,10,23,9,51,47,3731.512207,12654.583008,34,0,11966
