stGps.stDate.year,stGps.stDate.month,stGps.stDate.day,stGps.stTime.hour,stGps.stTime.min,stGps.stTime.sec,stGps.fLatitude,stGps.fLongitude,uSpeed,bBrakePressure,wTimeTick
20,10,28,13,58,52,3732.669434,12702.687500,36,0,5084
20,10,28,13,58,53,3732.660889,12702.686523,40,0,5094
20,10,28,13,58,53,3732.660889,12702.686523,40,0,5094
20,10,28,13,58,55,3732.656006,12702.686523,45,0,5111
20,10,28,13,58,56,3732.651367,12702.685547,48,0,5120
20,10,28,13,58,57,3732.645996,12702.683594,50,0,5131
20,10,28,13,58,57,3732.645996,12702.683594,50,0,5131
20,10,28,13,58,59,3732.634277,12702.679688,51,0,5148
20,10,28,13,59,0,3732.627930,12702.677734,48,0,5157
20,10,28,13,59,1,3732.614746,12702.673828,43,0,5167
20,10,28,13,59,2,3732.614746,12702.673828,43,0,5176
20,10,28,13,59,3,3732.607422,12702.672852,44,0,5185
20,10,28,13,59,4,3732.600098,12702.672852,45,0,5193
20,10,28,13,59,5,3732.593750,12702.671875,45,0,5202
20,10,28,13,59,6,3732.582520,12702.668945,46,0,5213
20,10,28,13,59,7,3732.582520,12702.668945,46,0,5221
