stGps.stDate.year,stGps.stDate.month,stGps.stDate.day,stGps.stTime.hour,stGps.stTime.min,stGps.stTime.sec,stGps.fLatitude,stGps.fLongitude,uSpeed,bBrakePressure,wTimeTick
20,11,2,7,5,51,3729.957764,12653.800781,64,0,29230
20,11,2,7,5,51,3729.957764,12653.800781,64,0,29230
20,11,2,7,5,53,3729.962158,12653.808594,63,0,29240
20,11,2,7,5,53,3729.962158,12653.808594,63,0,29240
20,11,2,7,5,53,3729.966797,12653.818359,62,0,29248
20,11,2,7,5,53,3729.966797,12653.818359,62,0,29248
20,11,2,7,5,55,3729.971436,12653.827148,61,0,29258
20,11,2,7,5,55,3729.971436,12653.827148,61,0,29258
20,11,2,7,5,56,3729.976074,12653.836914,61,0,29267
20,11,2,7,5,56,3729.976074,12653.836914,61,0,29267
20,11,2,7,5,56,3729.980713,12653.846680,60,0,29275
20,11,2,7,5,56,3729.980713,12653.846680,60,0,29275
20,11,2,7,5,58,3729.985596,12653.855469,59,0,29286
20,11,2,7,5,58,3729.985596,12653.855469,59,0,29286
20,11,2,7,5,59,3729.991211,12653.864258,58,0,29294
20,11,2,7,5,59,3729.997314,12653.872070,58,0,29303
20,11,2,7,5,59,3729.997314,12653.872070,58,0,29303
20,11,2,7,5,59,3729.997314,12653.872070,58,0,29303
20,11,2,7,6,0,3730.003662,12653.877930,57,0,29312
20,11,2,7,6,2,3730.010254,12653.883789,57,0,29322
20,11,2,7,6,2,3730.010254,12653.883789,57,0,29322
20,11,2,7,6,3,3730.017090,12653.889648,57,0,29331
20,11,2,7,6,3,3730.017090,12653.889648,57,0,29331
20,11,2,7,6,3,3730.023682,12653.896484,59,0,29339
20,11,2,7,6,3,3730.023682,12653.896484,59,0,29339
20,11,2,7,6,4,3730.030518,12653.902344,61,0,29348
20,11,2,7,6,4,3730.030518,12653.902344,61,0,29348
20,11,2,7,6,6,3730.037354,12653.908203,60,0,29359
20,11,2,7,6,6,3730.037354,12653.908203,60,0,29359
20,11,2,7,6,6,3730.044189,12653.914063,59,0,29366
20,11,2,7,6,6,3730.044189,12653.914063,59,0,29366
