 bVersion, uLen, bReserved1, wTimeTick, stGps.stDate.year, stGps.stDate.month, stGps.stDate.day, stGps.stDate.reserved, stGps.stTime.hour, stGps.stTime.min, stGps.stTime.sec, stGps.stTime.reserved, stGps.fLatitude, stGps.fLongitude, stGps.uCourse, Drive Meter, wSystemState, bLDState, bLDWarning, uVDState, uSDATTT, bPDState, Front car distance, uPDTTT, bTSRDetectSpeed, bTSRSignType, bOSWarning, bAAState, uAATime, bEvent, uDSMState, bDSMWarning, bTASWarning, bSubPDState, bParking, bCarSignal, bCamearaState, uCarRPM, bBrakePressure, wYawRate, bAcceleration, bSuddenAcc, uSpeed, sAccBaseX, sAccBaseY, sAccBaseZ, sAccInputX, sAccInputY, sAccInputZ, bSDcard, bCamearaState, ODO meter, SAS,
2,96,0,224,20,11,9,0,4,0,43,0,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,7,1026,12,-35,1032,-1,0,1,0,0,
2,96,0,224,20,11,9,0,4,0,43,0,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,7,1026,12,-35,1032,-1,0,1,0,0,
2,96,0,233,20,11,9,0,4,0,43,0,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,7,1026,12,-36,1032,-1,0,1,0,0,
2,96,0,241,20,11,9,0,4,0,44,0,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,7,1026,12,-52,1031,0,0,1,0,0,
2,96,0,250,20,11,9,0,4,0,45,0,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,7,1026,12,-38,1032,1,0,1,0,0,
2,96,0,259,20,11,9,0,4,0,46,0,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,7,1026,12,-43,1034,0,0,1,0,0,
2,96,0,269,20,11,9,0,4,0,47,0,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,7,1026,12,-40,1033,-3,0,1,0,0,
2,96,0,279,20,11,9,0,4,0,49,0,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,7,1026,12,-40,1034,-2,0,3,0,0,
2,96,0,287,20,11,9,0,4,0,49,0,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,7,1026,12,-37,1034,0,0,3,0,0,
2,96,0,296,20,11,9,0,4,0,50,0,0.000000,0.000000,0,0,0,1,0,0,32768,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,7,1026,12,-37,1031,-2,0,1,0,0,
2,96,0,305,20,11,9,0,4,0,51,0,0.000000,0.000000,0,0,0,1,0,0,32768,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,7,1026,12,-39,1032,0,0,1,0,0,
2,96,0,315,20,11,9,0,4,0,53,0,0.000000,0.000000,0,0,0,1,0,0,32768,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,7,1026,12,-36,1029,-2,0,1,0,0,
2,96,0,324,20,11,9,0,4,0,53,0,0.000000,0.000000,0,0,0,0,0,0,32768,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,7,1026,12,-37,1035,0,0,1,0,0,
2,96,0,332,20,11,9,0,4,0,54,0,0.000000,0.000000,0,0,0,1,0,0,32768,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,7,1026,12,-38,1034,-3,0,1,0,0,
2,96,0,342,20,11,9,0,4,0,56,0,0.000000,0.000000,0,0,0,1,0,0,32768,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,7,1026,12,-39,1031,0,0,1,0,0,
